,id,price,time,exchange,quote_type,market_hours,change_percent,change,open_price,price_hint,currency,day_high,day_low
0,^NSEI,22689.75,2026-03-30 04:11:06,NSI,9,1,-0.56903785,-129.84961,22549.65,2,,,
1,^NSEI,22688.05,2026-03-30 04:11:07,NSI,9,1,-0.5764326,-131.54883,22549.65,2,,,
2,^NSEI,22688.3,2026-03-30 04:11:08,NSI,9,1,-0.57539004,-131.29883,22549.65,2,,,
3,^NSEI,22690.9,2026-03-30 04:11:09,NSI,9,1,-0.56401515,-128.69922,22549.65,2,,,
4,^NSEI,22690.8,2026-03-30 04:11:11,NSI,9,1,-0.56443185,-128.79883,22549.65,2,,,
5,^NSEI,22691.6,2026-03-30 04:11:13,NSI,9,1,-0.5609115,-128.0,22549.65,2,,,
6,^NSEI,22691.9,2026-03-30 04:11:15,NSI,9,1,-0.5596339,-127.69922,22549.65,2,,,
7,^NSEI,22692.85,2026-03-30 04:11:15,NSI,9,1,-0.55546665,-126.75,22549.65,2,,,
8,^NSEI,22693.05,2026-03-30 04:11:16,NSI,9,1,-0.55457056,-126.54883,22549.65,2,,,
9,^NSEI,22691.85,2026-03-30 04:11:17,NSI,9,1,-0.5597975,-127.75,22549.65,2,,,
10,^NSEI,22693.85,2026-03-30 04:11:18,NSI,9,1,-0.5510952,-125.75,22549.65,2,,,
11,^NSEI,22695.05,2026-03-30 04:11:19,NSI,9,1,-0.54579884,-124.54883,22549.65,2,,,
12,^NSEI,22695.85,2026-03-30 04:11:20,NSI,9,1,-0.54233974,-123.75,22549.65,2,,,
13,^NSEI,22694.85,2026-03-30 04:11:21,NSI,9,1,-0.54665524,-124.75,22549.65,2,,,
14,^NSEI,22698.95,2026-03-30 04:11:22,NSI,9,1,-0.52878106,-120.65039,22549.65,2,,,
15,^NSEI,22700.55,2026-03-30 04:11:23,NSI,9,1,-0.52170813,-119.04883,22549.65,2,,,
16,^NSEI,22699.3,2026-03-30 04:11:24,NSI,9,1,-0.5271548,-120.29883,22549.65,2,,,
17,^NSEI,22701.7,2026-03-30 04:11:25,NSI,9,1,-0.5166764,-117.90039,22549.65,2,,,
18,^NSEI,22702.85,2026-03-30 04:11:26,NSI,9,1,-0.51165074,-116.75,22549.65,2,,,
19,^NSEI,22703.7,2026-03-30 04:11:27,NSI,9,1,-0.50789845,-115.90039,22549.65,2,,,
20,^NSEI,22702.85,2026-03-30 04:11:28,NSI,9,1,-0.5116104,-116.75,22549.65,2,,,
21,^NSEI,22699.5,2026-03-30 04:11:30,NSI,9,1,-0.52623224,-120.09961,22549.65,2,,,
22,^NSEI,22697.55,2026-03-30 04:11:31,NSI,9,1,-0.5348374,-122.04883,22549.65,2,,,
23,^NSEI,22695.85,2026-03-30 04:11:31,NSI,9,1,-0.54225653,-123.75,22549.65,2,,,
24,^NSEI,22696.8,2026-03-30 04:11:32,NSI,9,1,-0.5381417,-122.79883,22549.65,2,,,
25,^NSEI,22696.8,2026-03-30 04:11:33,NSI,9,1,-0.5381253,-122.79883,22549.65,2,,,
26,^NSEI,22696.35,2026-03-30 04:11:34,NSI,9,1,-0.5401189,-123.25,22549.65,2,,,
27,^NSEI,22694.05,2026-03-30 04:11:35,NSI,9,1,-0.5501521,-125.54883,22549.65,2,,,
28,^NSEI,22690.9,2026-03-30 04:11:36,NSI,9,1,-0.5639743,-128.69922,22549.65,2,,,
29,^NSEI,22691.65,2026-03-30 04:11:37,NSI,9,1,-0.5607172,-127.94922,22549.65,2,,,
30,^NSEI,22688.75,2026-03-30 04:11:38,NSI,9,1,-0.5733712,-130.84961,22549.65,2,,,
31,^NSEI,22689.65,2026-03-30 04:11:39,NSI,9,1,-0.5694657,-129.94922,22549.65,2,,,
