Symbol,Name,Last Price,Sector / Category,Type,Exchange
NIFTY_OIL_AND_GAS.NS,NIFTY OIL AND GAS,"11,694.65",--,Indices,NSI
NIFTY_TOP_20_EW.NS,NIFTY TOP 20 EW,"8,694.65",--,Indices,NSI
NIFTY_SML250_Q50.NS,NIFTY SML250 Q50,"24,721.10",--,Indices,NSI
NIFTY_HIGHBETA_50.NS,NIFTY HIGHBETA 50,"4,074.80",--,Indices,NSI
NIFTY_NEW_CONSUMP.NS,NIFTY NEW CONSUMP,"10,929.15",--,Indices,NSI
NIFTY_MS_IND_CONS.NS,NIFTY MS IND CONS,"17,711.90",--,Indices,NSI
NIFTY_AQLV_30.NS,NIFTY AQLV 30,"20,025.55",--,Indices,NSI
NIFTY500_VALUE_50.NS,NIFTY500 VALUE 50,"16,554.20",--,Indices,NSI
NIFTY_SHARIAH_25.NS,NIFTY SHARIAH 25,"7,795.10",--,Indices,NSI
NIFTY_CORP_MAATR.NS,NIFTY CORP MAATR,"37,968.20",--,Indices,NSI
NIFTY_RAILWAYSPSU.NS,NIFTY RAILWAYSPSU,"3,209.80",--,Indices,NSI
NIFTY_FPI_150.NS,NIFTY FPI 150,"1,532.65",--,Indices,NSI
NIFTY500_SHARIAH.NS,NIFTY500 SHARIAH,"6,819.50",--,Indices,NSI
NIFTY_CAPITAL_MKT.NS,NIFTY CAPITAL MKT,"5,238.05",--,Indices,NSI
NIFTY_TATA_25_CAP.NS,NIFTY TATA 25 CAP,"14,676.60",--,Indices,NSI
NIFTY500_LOWVOL50.NS,NIFTY500 LOWVOL50,"22,153.70",--,Indices,NSI
NIFTY_NONCYC_CONS.NS,NIFTY NONCYC CONS,"14,851.55",--,Indices,NSI
NIFTY_MULTI_MQ_50.NS,NIFTY MULTI MQ 50,"41,572.00",--,Indices,NSI
NIFTY_INTERNET.NS,NIFTY INTERNET,"1,210.00",--,Indices,NSI
NIFTY_AQL_30.NS,NIFTY AQL 30,"22,193.35",--,Indices,NSI
NIFTYMS400_MQ_100.NS,NIFTYMS400 MQ 100,"49,320.80",--,Indices,NSI
NIFTY_TMMQ_50.NS,NIFTY TMMQ 50,"42,896.45",--,Indices,NSI
NIFTY_TOP_10_EW.NS,NIFTY TOP 10 EW,"8,718.55",--,Indices,NSI
NIFTY_MS_IT_TELCM.NS,NIFTY MS IT TELCM,"8,532.15",--,Indices,NSI
NIFTY50_SHARIAH.NS,NIFTY50 SHARIAH,"4,339.15",--,Indices,NSI
NIFTY500_EW.NS,NIFTY500 EW,"14,162.70",--,Indices,NSI
NIFTY_TMMQ_50.NS,NIFTY TMMQ 50,"42,896.45",--,Indices,NSI
NIFTY_MOBILITY.NS,NIFTY MOBILITY,"21,271.80",--,Indices,NSI
NIFTY_QLTY_LV_30.NS,NIFTY QLTY LV 30,"16,310.40",--,Indices,NSI
NIFTY_RURAL.NS,NIFTY RURAL,"15,298.95",--,Indices,NSI
NIFTY500_HEALTH.NS,NIFTY500 HEALTH,"19,002.85",--,Indices,NSI
NIFTY500_FLEXICAP.NS,NIFTY500 FLEXICAP,"9,681.65",--,Indices,NSI
NIFTY500_QLTY50.NS,NIFTY500 QLTY50,"19,406.70",--,Indices,NSI
NIFTY_WAVES.NS,NIFTY WAVES,"1,946.15",--,Indices,NSI
NIFTY_EV.NS,NIFTY EV,"2,995.85",--,Indices,NSI
NIFTY_IPO.NS,NIFTY IPO,"2,128.55",--,Indices,NSI
NIFTY_CHEMICALS.NS,NIFTY CHEMICALS,"28,480.50",--,Indices,NSI
NIFTY_INFRALOG.NS,NIFTY INFRALOG,"11,945.50",--,Indices,NSI
NIFTY_IND_TOURISM.NS,NIFTY IND TOURISM,"7,332.70",--,Indices,NSI
NIFTY200_VALUE_30.NS,NIFTY200 VALUE 30,"15,509.35",--,Indices,NSI
NIFTY_HOUSING.NS,NIFTY HOUSING,"11,888.95",--,Indices,NSI
NIFTY_TOP_15_EW.NS,NIFTY TOP 15 EW,"9,811.10",--,Indices,NSI
NIFTY100_ALPHA_30.NS,NIFTY100 ALPHA 30,"17,642.10",--,Indices,NSI
NIFTY50_USD.NS,NIFTY50 USD,"8,767.05",--,Indices,NSI
NIFTY_MS_FIN_SERV.NS,NIFTY MS FIN SERV,"21,227.40",--,Indices,NSI
NIFTY_COREHOUSING.NS,NIFTY COREHOUSING,"14,747.25",--,Indices,NSI
NIFTY_FINSEREXBNK.NS,NIFTY FINSEREXBNK,"30,858.35",--,Indices,NSI
NIFTY500_MQVLV50.NS,NIFTY500 MQVLV50,"30,891.30",--,Indices,NSI
NIFTY_TRANS_LOGIS.NS,NIFTY TRANS LOGIS,"23,584.35",--,Indices,NSI
NIFTY_MULTI_INFRA.NS,NIFTY MULTI INFRA,"14,416.95",--,Indices,NSI
NIFTY100_ENH_ESG.NS,NIFTY100 ENH ESG,"4,868.60",--,Indices,NSI
NIFTY500_LMS_EQL.NS,NIFTY500 LMS EQL,"17,626.15",--,Indices,NSI
NIFTY_LOW_VOL_50.NS,NIFTY LOW VOL 50,"24,173.95",--,Indices,NSI
NIFTY_IND_DEFENCE.NS,NIFTY IND DEFENCE,"8,973.45",--,Indices,NSI
NIFTY_MULTI_MFG.NS,NIFTY MULTI MFG,"16,020.65",--,Indices,NSI
NIFTY_MIDSML_HLTH.NS,NIFTY MIDSML HLTH,"44,973.80",--,Indices,NSI
NIFTYCONGLOMERATE.NS,NIFTYCONGLOMERATE,"14,509.05",--,Indices,NSI
NIFTYSML250MQ_100.NS,NIFTYSML250MQ 100,"44,045.40",--,Indices,NSI
^BSESN,S&P BSE SENSEX,"76,913.50",--,Indices,BSE
0P00001G5J.BO,0P00001G5J.BO,"76,913.50",--,Indices,BSE
SNSX50.BO,S&P BSE SENSEX 50 Index,"25,100.65",--,Indices,BSE
SNXT50.BO,S&P BSE SENSEX Next 50 Index,"83,874.69",--,Indices,BSE
SNSX60.BO,BSE SENSEX SIXTY,"32,506.41",--,Indices,BSE
SS6535.BO,BSE SENSEX SIXTY 65:35,"33,557.42",--,Indices,BSE
SENEQW.BO,BSE SENSEX EQUAL WEIGHT,"78,058.71",--,Indices,BSE
SNXN30.BO,BSE SENSEX NEXT 30,"41,245.39",--,Indices,BSE
